"azithromycin_1.75mM"	"azithromycin_2mM"
"ARG4"	6.17239216461855	5.42465658751886
"ARG56"	6.64897731778349	5.87631865475421
"YER068C-A"	6.51478812656332	6.45202037652949
"ARG7"	5.95484969308331	5.61598904099931
"ARG8"	0.0102826129036594	0.0126734733139693
"ARG80"	-0.329612924662776	-0.66452238565763
"ARG81"	-0.587700962725121	-0.093356032636936
"ARG82"	0.563736661989873	0.277916959332729
"ARI1"	-0.386335501699165	-0.299497758320682
"ARK1"	0.211075436436206	-0.188599097204161
"ARL1"	0.48108454110793	0.28753805423134
"ARL3"	0.42519798326645	0.649555844958958
"ARN1"	0.117937747089082	0.110211248068854
"ARN2"	0.319330586959476	0.161683823894567
"ARO1"	NA	NA
"ARO10"	-0.374537704873502	-0.27448235460701
"ARO2"	-0.529346020727882	-0.566278419558676
"ARO3"	-0.083956268404895	-0.0382063421055384
"ARO4"	-0.193944524848047	-0.0944711838988125
"ARO7"	-0.115548170149048	0.269488939563347
"ARO8"	-0.666928931883861	-0.737544048489264
"ARO80"	0.383637771745093	0.375021471883662
"ARO9"	-0.0881845054039701	-0.198082260205091
"ARP1"	0.204975354307156	-0.244560889132786
"ARP5"	0.0750831619417154	0.39569018491355
"ARP6"	1.4508131492517	1.37709675698453
"ARP8"	0.195515146480603	-0.0604485804319898
"ARR1"	0.220991850361994	0.00507115897247531
"ARR2"	0.0971900243112852	0.0208453691563575
"ARR3"	0.415882894173336	0.111176409729122
"ART10"	-0.343769604251854	-0.00953224292942555
"ART5"	-0.2641041046808	0.153843537251229
"ARV1"	0.0184691623513314	-0.0213416554366497
"ARX1"	-0.418409262434857	-0.0503820375177912
"ASC1"	0.606651497183111	-0.331025457928532
"ASE1"	-0.169388639960242	-0.100603508964566
"ASF1"	0.0888421982436628	-0.263717383296388
"ASF2"	0.249120909507096	0.354288760485166
"ASG1"	-0.0679779891834253	0.066205506999902
"ASG7"	-0.345526534930529	0.0290296404269494
"ASH1"	-0.344575469126825	-0.410021760294142
"ASI1"	-0.179544498216352	-0.717311443893496
"ASI2"	0.0666505669828662	-0.0151326214687821
"ASI3"	NA	NA
"ASK10"	-0.0498734266188096	-0.108724862921101
"ASM4"	0.234014836335629	0.369093251861882
"ASN1"	-0.0223357017844758	-0.374120775456821
"ASN2"	0.189561472527036	-0.0472349946680556
"ASP1"	0.131730591147645	0.0832901792090899
"ASR1"	-0.0663741912429785	0.139023534484074
"AST1"	-0.059668779344542	-0.366374797823309
"AST2"	0.350287408807186	0.168469042976128
"ATC1"	-0.219957630436923	-0.166029308983362
"ATE1"	0.281676892044369	-0.191345116929009
"ATF1"	0.640647389886109	1.07550838095965
"ATF2"	-0.0914205333331454	-0.401884401985293
"ATG1"	-0.00567614539718461	-0.0377647001079679
"ATG10"	0.118723836197067	0.00021277315968135
"ATG11"	-0.348893420124634	0.110267352915189
"ATG12"	0.0420978516659004	0.0508463387489311
"ATG13"	-0.182199509273067	0.322844711206941
"ATG14"	0.21094479858374	0.672539474083832
"ATG15"	0.331376633394958	0.146127876640197
"ATG16"	0.127319314635252	0.197288530070644
"ATG17"	0.214381648521109	-0.324069401067559
"ATG18"	-0.397329623661834	-0.84567685911166
"ATG19"	0.171756679064687	0.278317852256572
"ATG2"	-0.308067831727897	-0.243953403395063
"ATG20"	0.133708940843006	0.110593628169826
"ATG21"	-0.126349776425021	-0.377068808780472
"ATG22"	0.00185478712457928	-0.137704703744138
"ATG23"	-0.208009752831935	-0.22000525968881
"ATG26"	-0.18488884597685	-0.0630070674160559
"ATG27"	0.321813348407295	0.205277828025131
"ATG29"	0.21127182017523	0.0547030627743261
"ATG3"	-0.0104777879876808	0.0856525839394579
"ATG31"	0.0110509655266502	-0.219448079400871
"ATG32"	-0.459988611221536	-1.12153059030471
"ATG33"	0.253705352081973	0.208066794166214
"ATG34"	0.0456162558879595	0.368234121619711
"ATG36"	0.497732327660364	0.406815099140295
"ATG38"	0.00745217255322066	0.0972709550026684
"ATG39"	-0.0971870108884706	0.0984956583177175
"ATG4"	NA	NA
"ATG40"	0.140250079435675	-0.14408409699309
"ATG41"	-0.0734832811273274	-0.0222430234748169
"ATG42"	-0.0810149404426107	-0.151633416314639
"ATG5"	0.0575183367699588	0.201236177093738
"ATG7"	-0.183535376404815	-0.171106014316806
"ATG8"	-0.280159760689578	-0.175127299888831
"ATG9"	-0.114603357189654	0.129244226815434
"ATH1"	-0.105961642298233	-0.123142349906169
"ATO2"	0.0615629384498935	-0.0118065452118268
"ATO3"	-0.277646534452512	-0.140141403365935
"ATP1"	0.104840005849358	-0.394951395467274
"ATP10"	-0.0178417273994451	0.295158521231629
"ATP11"	0.286486567569276	0.346017114016965
"ATP12"	0.00871153802634399	0.0107392946700977
"ATP14"	1.50834014308023	0.637710815288902
"ATP15"	0.923189430450816	0.44782560860294
"ATP17"	0.265867192492565	0.899047441512033
"ATP18"	0.0740296984832605	0.440468548538027
"ATP19"	NA	NA
"ATP2"	-0.711511086285092	-0.781256278274096
"ATP20"	-0.0604209083413285	-0.313061168833873
"ATP22"	0.00146452823618673	-0.0314863300541382
"ATP23"	0.369919275667756	0.242147762580146
"ATP25"	0.764202059483908	0.765074712941872
"ATP3"	0.020675673978249	0.0205368806533686
"ATP4"	0.882335672719889	1.00890551103731
"ATP5"	0.542879900619902	0.213665762605237
"ATP7"	NA	NA
"ATR1"	0.101304586459062	-0.472988785487733
"ATR2"	0.330397734666381	0.186870738873878
"ATS1"	0.415101054961636	0.482004908404318
"ATX1"	0.35899028926219	0.394611877407414
"ATX2"	-0.0864799917391322	-0.171442381391521
"AUA1"	0.190910118039817	0.128102432711236
"AUS1"	-0.144532391719936	0.181914095045089
"AVL9"	-0.0708926310978785	-0.334999280750081
"AVO2"	0.318527798964425	0.575017725832886
"AVT1"	0.275862010505372	0.234147275100734
"AVT2"	-0.153919723570292	-0.0305179643474298
"AVT3"	-0.0600446125578404	-0.00829464022893888
"AVT4"	0.0853563074619774	0.418796847168427
"AVT5"	-0.325354004646969	-1.09176178014199
"AVT6"	0.228015005531825	-0.331770400024316
"AVT7"	-0.0910089967472813	-0.174063184343623
"AXL1"	-0.333625772315091	-0.385741193463808
"AXL2"	-0.536158671466594	-0.202531154813821
"AYR1"	0.377455767902657	0.606147970896854
"AYT1"	0.213805311496054	0.277020157268277
"AZF1"	-0.242565928600494	0.341079928637278
"AZR1"	0.0330515483702872	-0.22639823177863
"BAG7"	-0.095999746914576	-0.136111408739973
"BAP2"	3.26104590755711	3.54168408249049
"BAP3"	-0.13585186678054	-0.129280757092104
"BAR1"	-0.39064162005837	-0.749523038058502
"BAS1"	-0.214152297916021	-0.863872193178916
"BAT2"	0.0518655249639133	0.163522360042495
"BBC1"	-0.0107275017864761	-0.514855027396147
"BCH1"	0.0695177185678004	0.24498420395201
"BCH2"	-0.195965370989659	-0.129596295544239
"BCK1"	-0.254758259410896	0.143156071547962
"BCK2"	0.858024149472584	1.2811872081955
"BCS1"	0.338501135243611	0.602788456837938
"BCY1"	-0.0205563435000792	-0.0347042206770293
"BDF1"	NA	NA
"BDF2"	0.570007771583652	-0.0160188278933152
"BDH1"	-0.10785954317693	0.0336816109708902
"BDH2"	-0.422602826224484	-0.282837639587775
"BDS1"	0.00839572946747185	0.0103326213566074
"BEM1"	0.35000760792245	0.123890851078575
"BEM2"	0.00849764256854668	0.0104803532402116
"BEM3"	-0.12123812549835	-0.059066030612171
"BEM4"	-1.64351123214161	-2.01946776280938
"BER1"	-0.653915655027295	-0.709851725195273
"BFA1"	0.0193028815540174	0.0855615199795321
"BFR1"	0.132518935502487	0.70845138349744
"BGL2"	0.282756853357779	0.460576514290468
"BIK1"	-0.0877602436086933	-0.203379269833972
"BIL1"	0.122536060793332	0.0883484944696951
"BIM1"	-0.728677497074682	-1.39286070692737
"BIO2"	-0.00872788982443953	0.17033389862503
"BIO3"	0.0604487754566778	0.0565121050132489
"BIO4"	0.275892328473427	0.174443035006583
"BIO5"	-0.54370169374763	-0.28389699974454
"BIR1"	NA	NA
"BIT2"	0.317083779384744	0.964081275188516
"BIT61"	0.483152893350192	0.216181334998633
"BLI1"	-0.189389295914841	0.0263983388404946
"BLM10"	-0.0936102165993768	-0.488977813974968
"BLS1"	-0.167394025780621	-0.109551437998894
"BMH1"	-0.713431871931122	-0.97977701668163
"BMH2"	0.0802280155677331	0.00621885256086097
"BMT2"	0.20518423048077	-0.244074579191059
"BMT5"	0.289572133258562	0.0369408901550053
"BMT6"	-0.701038367756142	-0.144405172783238
"BNA1"	-0.206739998509967	-0.167450016439704
"BNA2"	-0.156999542404507	-0.558715888139849
"BNA3"	0.238498639208091	-0.0982981018578625
"BNA4"	0.085119094005965	-0.0561843982236299
"BNA5"	-0.0449134926281559	-0.263276704729648
"BNA6"	-0.0470135282389209	-0.0187454811476051
"BNA7"	0.275521056604824	0.238921948973834
"BNI1"	0.350203522397074	0.695355762230109
"BNI4"	-0.0627430782488709	0.0831526247187742
"BNI5"	NA	NA
"BNR1"	-0.0142353611364248	-0.526334892038653
"BNS1"	-0.0224701011946066	0.167781821532123
"BOI1"	-0.182136819572502	-0.286656734423722
"BOI2"	0.179493227408835	-0.118685333588065
"BOL1"	0.00106657374982288	-0.0425979596297854
"BOL2"	-0.162625007056325	-0.0986979434564815
